"","X.1","X","N_Accesion","gi","Title","Serotype","Genotype","Gene","Size_sequence","Country","Location","Year","Month","lat_country","lon_country","locationtype_country","formatted_country","lat_location","lon_location","locationtype_location","formatted_location","Comments"
"12",1836,10524,"JN638344",359729449,"Dengue_virus_1_strain_00407_95_complete_genome","DENV_1",NA,"Complete_Genome",10735,"Thailand",NA,1995,NA,15.870032,100.992541,"APPROXIMATE","Thailand",NA,NA,NA,NA,"Thailand_serum_cultured_in_mosquito_cell_line_C6_36_1995_passage_history_TS1_C6_36_3"
"13",963,17749,"EU848545",194338412,"Dengue_virus_1_isolate_US_Hawaii_1944_complete_genome","DENV_1",NA,"Complete_Genome",10734,"United States","Hawaii",1944,NA,37.09024,-95.712891,"APPROXIMATE","United States",19.8967662,-155.5827818,"APPROXIMATE","Hawaii, USA","USA_Hawaii_pooled_serum_from_6_patients_mouse_adapted_1944"
"14",2336,7793,"GU131792",263611903,"Dengue_virus_1_isolate_DENV_1_VN_BID_V4034_2008_complete_genome","DENV_1",NA,"Complete_Genome",10457,"Viet Nam","South Viet Nam",2008,NA,14.058324,108.277199,"APPROXIMATE","Vietnam",14.058324,108.277199,"APPROXIMATE","Vietnam","Viet_Nam_South_plasma_2008_cohort_population_MD"
"15",236,14226,"EF457905",148828518,"Dengue_virus_type_1_isolate_P72_1244_complete_genome","DENV_1",NA,"Complete_Genome",10735,"Malaysia",NA,1972,NA,4.210484,101.975766,"APPROXIMATE","Malaysia",NA,NA,NA,NA,"Malaysia_1972"
"16",3582,5278,"KF184975",544370125,"Dengue_virus_1_isolate_Angola_2013_polyprotein_gene_complete_cds","DENV_1",NA,"Complete_Genome",10602,"Angola",NA,2013,"Apr",-11.202692,17.873887,"APPROXIMATE","Angola",NA,NA,NA,NA,"Angola_serum_Apr_2013"
"17",1958,975,"KJ755855",759083580,"Dengue_virus_1_isolate_NIV_K130706770_India_complete_genome","DENV_1",NA,"Complete_Genome",10727,"India",NA,2013,"Jul",20.593684,78.96288,"APPROXIMATE","India",NA,NA,NA,NA,"India_serum_Jul_2013"
"20",105,17084,"AY722803",56718805,"Dengue_virus_type_1_strain_D1Myanmar32514_98_polyprotein_gene_complete_cds","DENV_1",NA,"Complete_Genome",10614,"Myanmar",NA,1998,NA,21.916221,95.955974,"APPROXIMATE","Myanmar (Burma)",NA,NA,NA,NA,"Myanmar_isolated_in_1998"
"22",3639,5585,"JQ915076",425895200,"Dengue_virus_1_isolate_PF09_090609_76_polyprotein_gene_complete_cds","DENV_1","V","Complete_Genome",10699,"French Polynesia","Tahiti",2009,"Jun",-17.679742,-149.406843,"APPROXIMATE","French Polynesia",-17.6509195,-149.4260421,"APPROXIMATE","Tahiti, French Polynesia","IV_South_Pacific_French_Polynesia_Tahiti_serum_from_a_DF_patient_09_Jun_2009"
"23",3659,5605,"JQ922546",428624549,"Dengue_virus_1_isolate_DENV_1_IND_715393_1971_complete_genome","DENV_1",NA,"Complete_Genome",10663,"India","Jaipur",1971,NA,20.593684,78.96288,"APPROXIMATE","India",26.9124336,75.7872709,"APPROXIMATE","Jaipur, Rajasthan, India","India_Jaipur_Rajasthan_1971"
"24",2028,1108,"LC128301",1001622301,"Dengue_virus_1_genomic_RNA_complete_sequence_strain:_D1_Hu_Philippines_NIID13_2016","DENV_1",NA,"Complete_Genome",10693,"Philippines",NA,2016,NA,12.879721,121.774017,"APPROXIMATE","Philippines",NA,NA,NA,NA,"Philippines_serum_of_patient_2016_01"
"26",122,15337,"AY732483",58044307,"Dengue_virus_type_1_strain_ThD1_0008_81_complete_genome","DENV_1",NA,"Complete_Genome",10735,"Thailand","Bangkok",1981,NA,15.870032,100.992541,"APPROXIMATE","Thailand",13.7563309,100.5017651,"APPROXIMATE","Bangkok, Thailand","Thailand_Bangkok_1981"
"27",2041,1427,"KP406801",937349143,"Dengue_virus_1_isolate_DenKor_01_complete_genome","DENV_1",NA,"Complete_Genome",10736,"South Korea",NA,2004,NA,35.907757,127.766922,"APPROXIMATE","South Korea",NA,NA,NA,NA,"South_Korea_Korean_traveler_who_recently_visited_India_and_Singapore_2004"
"28",3137,8316,"FJ898385",228539684,"Dengue_virus_1_isolate_DENV_1_VN_BID_V2743_2007_complete_genome","DENV_1",NA,"Complete_Genome",10690,"Viet Nam","South Viet Nam",2007,NA,14.058324,108.277199,"APPROXIMATE","Vietnam",14.058324,108.277199,"APPROXIMATE","Vietnam","Viet_Nam_South_plasma_2007_cohort_population_MD"
"29",3016,3594,"LC011949",729042206,"Dengue_virus_1_genomic_RNA_complete_sequence_strain:_D1_Hu_Shizuoka_NIID181_2014","DENV_1",NA,"Complete_Genome",10693,"Japan","Shizuoka",2014,NA,36.204824,138.252924,"APPROXIMATE","Japan",34.9771201,138.3830845,"APPROXIMATE","Shizuoka Prefecture, Japan","JapanShizuoka_serum_of_patient_2014_09_synonym_Dengue_virus_type_1"
"30",1861,9789,"JN903578",395394293,"Dengue_virus_1_isolate_D1_IN_RGCB294_2007_complete_genome","DENV_1",NA,"Complete_Genome",10715,"India",NA,2007,"Jul",20.593684,78.96288,"APPROXIMATE","India",NA,NA,NA,NA,"C6_36_Mosquito_cell_line_passage_1_India_serum_8.48_N_76.98_E_26_Jul_2007_Anoop_M_E.Sreekumar"
"31",3076,3883,"KC692498",572169565,"Dengue_virus_1_isolate_HNRG12589_complete_genome","DENV_1","V","Complete_Genome",10735,"Argentina","Buenos Aires",2009,"Mar",-38.416097,-63.616672,"APPROXIMATE","Argentina",-34.6036844,-58.3815591,"APPROXIMATE","Buenos Aires, Argentina","V_Argentina_Buenos_Aires_serum_03_Mar_2009"
"32",731,9376,"EU482814",169144413,"Dengue_virus_1_isolate_DENV_1_VN_BID_V820_2006_complete_genome","DENV_1",NA,"Complete_Genome",10690,"Viet Nam","South Viet Nam",2006,NA,14.058324,108.277199,"APPROXIMATE","Vietnam",14.058324,108.277199,"APPROXIMATE","Vietnam","Viet_Nam_south_cell_supernatant_2006_passage_history_C6_36_3_cohort_population_DENCO"
"33",3204,8383,"FJ882548",228537515,"Dengue_virus_1_isolate_DENV_1_VN_BID_V2778_2007_complete_genome","DENV_1",NA,"Complete_Genome",10684,"Viet Nam","South Viet Nam",2007,NA,14.058324,108.277199,"APPROXIMATE","Vietnam",14.058324,108.277199,"APPROXIMATE","Vietnam","Viet_Nam_South_plasma_2007_cohort_population_MD"
"34",2229,7685,"GU131900",263614183,"Dengue_virus_2_isolate_DENV_2_IPC_BID_V3797_2008_complete_genome","DENV_2",NA,"Complete_Genome",10658,"Cambodia","SRP",2008,NA,12.565679,104.990963,"APPROXIMATE","Cambodia",NA,NA,NA,NA,"Cambodia_SRP_cell_supernatant_2008_passage_history_C6_36_passage_number_unknown_cohort_population_Dengue_Surveillance"
"35",2106,7562,"HM181971",298388350,"Dengue_virus_2_isolate_DENV_2_BR_BID_V3637_2008_complete_genome","DENV_2",NA,"Complete_Genome",10531,"Brazil","Sao Paulo",2008,NA,-14.235004,-51.92528,"APPROXIMATE","Brazil",-23.5505199,-46.6333094,"APPROXIMATE","São Paulo, State of São Paulo, Brazil","Brazil_Sao_Paulo_serum_2008_cohort_population_RP_BR"
"36",2285,7742,"GU131843",263612312,"Dengue_virus_2_isolate_DENV_2_BF_BID_V3502_1986_complete_genome","DENV_2",NA,"Complete_Genome",10657,"Burkina Faso",NA,1986,NA,12.238333,-1.561593,"APPROXIMATE","Burkina Faso",NA,NA,NA,NA,"Burkina_Faso_cell_supernatant_1986_passage_history_C6_36_4_cohort_population_CDC_Reference_Collection"
"37",3417,4621,"JQ955624",513046351,"Dengue_virus_2_isolate_Od2112_complete_genome","DENV_2","IV","Complete_Genome",10670,"India","Odisha",2011,NA,20.593684,78.96288,"APPROXIMATE","India",20.9516658,85.0985236,"APPROXIMATE","Odisha, India","IV_India_Odisha_viremic_patient_2011"
"38",3467,4810,"KF955359",573974201,"Dengue_virus_2_isolate_DENV_2_PR_BID_V586_2006_complete_genome","DENV_2",NA,"Complete_Genome",10531,"Puerto Rico",NA,2006,NA,18.220833,-66.590149,"APPROXIMATE","Puerto Rico",NA,NA,NA,NA,"Puerto_Rico_cell_supernatant_2006_cell_passage_history_unknown_cohort_population_Puerto_Rico"
"39",3418,4622,"JX475906",428621862,"Dengue_virus_2_isolate_1392_complete_genome","DENV_2","Cosmopolitan","Complete_Genome",10670,"India","Hyderabad",2009,NA,20.593684,78.96288,"APPROXIMATE","India",17.385044,78.486671,"APPROXIMATE","Hyderabad, Telangana, India","Cosmopolitan__IV__India_Hyderabad_viremic_patient_2009"
"40",3091,3993,"KC294216",548918000,"Dengue_virus_2_isolate_DENV_2_PE_FSL699_2002_complete_genome","DENV_2",NA,"Complete_Genome",10723,"Peru","Iquitos",2002,"Feb",-9.189967,-75.015152,"APPROXIMATE","Peru",-3.7436735,-73.2516326,"APPROXIMATE","Iquitos, Peru","Peru_Iquitos_06_Feb_2002"
"41",3014,3557,"KF744397",574452273,"Dengue_virus_2_isolate_01_St_206_polyprotein_gene_complete_cds","DENV_2","Cosmopolitan","Complete_Genome",10176,"Philippines",NA,2001,NA,12.879721,121.774017,"APPROXIMATE","Philippines",NA,NA,NA,NA,"Cosmopolitan_Philippines_patient_serum_2001_passaged_in_C6_36_mosquito_cells"
"42",3012,3555,"KF744399",574452277,"Dengue_virus_2_isolate_98_CI_15_polyprotein_gene_complete_cds","DENV_2","Asian_II","Complete_Genome",10176,"Philippines",NA,1998,NA,12.879721,121.774017,"APPROXIMATE","Philippines",NA,NA,NA,NA,"Asian_II_Philippines_patient_serum_1998_passaged_in_C6_36_mosquito_cells"
"43",3011,3554,"KF744400",574452279,"Dengue_virus_2_isolate_00_St_002_polyprotein_gene_complete_cds","DENV_2","Asian_II","Complete_Genome",10176,"Philippines",NA,2000,NA,12.879721,121.774017,"APPROXIMATE","Philippines",NA,NA,NA,NA,"Asian_II_Philippines_patient_serum_2000_passaged_in_C6_36_mosquito_cells"
"44",3113,4101,"KJ918750",671760834,"Dengue_virus_2_isolate_P23085_INDI_60_complete_genome","DENV_2","V","Complete_Genome",10723,"India",NA,2007,"Apr",20.593684,78.96288,"APPROXIMATE","India",NA,NA,NA,NA,"V_India_01_Apr_2007"
"45",3112,4100,"KF704354",672941885,"Dengue_virus_2_isolate_Cuba_A15_1981_polyprotein_gene_complete_cds","DENV_2",NA,"Complete_Genome",10176,"Cuba",NA,1981,NA,21.521757,-77.781167,"APPROXIMATE","Cuba",NA,NA,NA,NA,"mouse_Cuba_mouse_brain_1981_passaged_three_times_in_suckling_mouse"
"46",3665,6020,"KC131142",451936067,"Dengue_virus_2_isolate_ZH413_2_complete_genome","DENV_2",NA,"Complete_Genome",10673,"China","Guangdong",2012,"Sep",35.86166,104.195397,"APPROXIMATE","China",23.3790333,113.7632828,"APPROXIMATE","Guangdong, China","China_Guangdong_patient_serum_Sep_2012"
"47",3656,5602,"JQ922549",428625060,"Dengue_virus_2_isolate_DENV_2_IND_969201_1996_complete_genome","DENV_2",NA,"Complete_Genome",10648,"India","Dhule",1996,NA,20.593684,78.96288,"APPROXIMATE","India",20.9042201,74.7748979,"APPROXIMATE","Dhule, Maharashtra, India","India_Dhule_Maharashtra_1996"
"48",3655,5601,"JQ922550",428625062,"Dengue_virus_2_isolate_DENV_2_IND_715394_1971_complete_genome","DENV_2",NA,"Complete_Genome",10619,"India","Jaipur",1971,NA,20.593684,78.96288,"APPROXIMATE","India",26.9124336,75.7872709,"APPROXIMATE","Jaipur, Rajasthan, India","India_Jaipur_Rajasthan_1971"
"49",3828,7480,"JF730044",328924164,"Dengue_virus_2_isolate_DENV_2_KH_BID_V2019_2001_complete_genome","DENV_2",NA,"Complete_Genome",10475,"Cambodia","RAT",2001,NA,12.565679,104.990963,"APPROXIMATE","Cambodia",14.0671935,102.644587,"APPROXIMATE","Thap Rat, Ta Phraya District, Sa Kaeo 27180, Thailand","Cambodia_RAT_cell_supernatant_2001_passage_history_AP61_passage_number_unknown_cohort_population_Dengue_Surveillance"
"50",3524,5056,"KC964095",563361570,"Dengue_virus_2_isolate_GD05_98_polyprotein_gene_complete_cds","DENV_2",NA,"Complete_Genome",10723,"China","Nanhai",1998,NA,35.86166,104.195397,"APPROXIMATE","China",23.028956,113.143441,"APPROXIMATE","Nanhai, Foshan, Guangdong, China","China_Nanhai_Guangdong_Province_C6_36_cell_culture_from_Aedes_albopictus_1998"
"51",3654,5600,"JQ922551",428625064,"Dengue_virus_2_isolate_DENV_2_IND_053598_2005_complete_genome","DENV_2",NA,"Complete_Genome",10639,"India","Pune",2005,NA,20.593684,78.96288,"APPROXIMATE","India",18.5204303,73.8567437,"APPROXIMATE","Pune, Maharashtra, India","India_Pune_Maharashtra_2005"
"52",3653,5599,"JQ922552",428625066,"Dengue_virus_2_isolate_DENV_2_IND_P23085_1960_complete_genome","DENV_2",NA,"Complete_Genome",10675,"India","Vellore",1960,NA,20.593684,78.96288,"APPROXIMATE","India",12.9165167,79.1324986,"APPROXIMATE","Vellore, Tamil Nadu, India","India_Vellore_Tamil_Nadu_1960"
"53",3652,5598,"JQ922553",428625068,"Dengue_virus_2_isolate_DENV_2_IND_803347_1980_complete_genome","DENV_2",NA,"Complete_Genome",10591,"India","Kolkata",1980,NA,20.593684,78.96288,"APPROXIMATE","India",22.572646,88.363895,"APPROXIMATE","Kolkata, West Bengal, India","India_Kolkata_West_Bengol_1980"
"54",3587,5365,"JX966380",529060538,"Dengue_virus_2_isolate_DENV2_PR159_complete_genome","DENV_2","American","Complete_Genome",10712,"Puerto Rico",NA,1969,NA,18.220833,-66.590149,"APPROXIMATE","Puerto Rico",NA,NA,NA,NA,"American_Puerto_Rico_1969_cultivated_in_Aedes_albopictus_C6_36_cells"
"55",2588,8045,"GQ868591",259496212,"Dengue_virus_2_isolate_DENV_2_TH_BID_V3357_1964_complete_genome","DENV_2",NA,"Complete_Genome",10678,"Thailand",NA,1964,NA,15.870032,100.992541,"APPROXIMATE","Thailand",NA,NA,NA,NA,"Thailand_cell_supernatant_1964_passage_history_C6_36_1_cohort_population_UMMS"
"56",2973,3175,"KM279536",794428646,"Dengue_virus_2_isolate_DC629Y12_complete_genome","DENV_2","Cosmopolitan","Complete_Genome",10723,"Singapore",NA,2012,NA,1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Cosmopolitan_Singapore_plasma_2012"
"57",1167,8959,"FJ410195",209976641,"Dengue_virus_2_isolate_DENV_2_VN_BID_V1776_2007_complete_genome","DENV_2",NA,"Complete_Genome",10678,"Viet Nam","South Viet Nam",2007,NA,14.058324,108.277199,"APPROXIMATE","Vietnam",14.058324,108.277199,"APPROXIMATE","Vietnam","Viet_Nam_South_plasma_2007_cohort_population_FR"
"58",1329,17597,"FJ467493",225590496,"Dengue_virus_2_isolate_DKD811_complete_genome","DENV_2",NA,"Complete_Genome",10719,"Malaysia",NA,2008,NA,4.210484,101.975766,"APPROXIMATE","Malaysia",NA,NA,NA,NA,"Malaysia_2008_sylvatic_lineage"
"59",925,9182,"EU687233",187610206,"Dengue_virus_3_isolate_DENV_3_US_BID_V1473_2002_complete_genome","DENV_3",NA,"Complete_Genome",10653,"Puerto Rico",NA,2002,NA,18.220833,-66.590149,"APPROXIMATE","Puerto Rico",NA,NA,NA,NA,"USA_Puerto_Rico_cell_supernatant_2002_passage_history_C6_36_1_cohort_population_Puerto_Rico"
"61",244,14188,"EU003591",157419257,"Dengue_virus_type_2_isolate_IBH11234_polyprotein_gene_complete_cds","DENV_2",NA,"Complete_Genome",10501,"Nigeria",NA,1966,"Aug",9.081999,8.675277,"APPROXIMATE","Nigeria",NA,NA,NA,NA,"Nigeria_18_Aug_1966_sylvatic"
"62",235,14227,"EF457904",148828516,"Dengue_virus_type_2_isolate_Dak_Ar_D75505_complete_genome","DENV_2",NA,"Complete_Genome",10724,"Senegal",NA,1999,NA,14.497401,-14.452362,"APPROXIMATE","Senegal",NA,NA,NA,NA,"Senegal_Aedes_luteocephalus_1999"
"63",227,14256,"EF105385",132271158,"Dengue_virus_type_2_isolate_Dak_Ar_D20761_polyprotein_gene_complete_cds","DENV_2",NA,"Complete_Genome",10724,"Senegal",NA,1974,NA,14.497401,-14.452362,"APPROXIMATE","Senegal",NA,NA,NA,NA,"Senegal_Aedes_luteocephalus_1974"
"64",221,14262,"EF105379",132271146,"Dengue_virus_type_2_isolate_P8_1407_polyprotein_gene_complete_cds","DENV_2",NA,"Complete_Genome",10719,"Malaysia",NA,1970,NA,4.210484,101.975766,"APPROXIMATE","Malaysia",NA,NA,NA,NA,"Malaysia_sentinel_monkey_1970"
"65",157,14698,"DQ181801",77024330,"Dengue_virus_type_2_strain_ThD2_0284_90_complete_genome","DENV_2",NA,"Complete_Genome",10723,"Thailand","Bangkok",1990,NA,15.870032,100.992541,"APPROXIMATE","Thailand",13.7563309,100.5017651,"APPROXIMATE","Bangkok, Thailand","Thailand_Bangkok_1990"
"66",587,9520,"EU482666",169144117,"Dengue_virus_2_isolate_DENV_2_VN_BID_V729_2006_complete_genome","DENV_2",NA,"Complete_Genome",10678,"Viet Nam","South Viet Nam",2006,NA,14.058324,108.277199,"APPROXIMATE","Vietnam",14.058324,108.277199,"APPROXIMATE","Vietnam","Viet_Nam_south_cell_supernatant_2006_passage_history_C6_36_4_cohort_population_DENCO"
"67",1701,12356,"GQ398258",300828759,"Dengue_virus_2_strain_DENV_2_ID_1016DN_1975_complete_genome","DENV_2",NA,"Complete_Genome",10723,"Indonesia",NA,1975,NA,-0.789275,113.921327,"APPROXIMATE","Indonesia",NA,NA,NA,NA,"Indonesia_1975"
"69",1712,12345,"GQ398269",300828781,"Dengue_virus_2_strain_DENV_2_PR_50DN_1994_complete_genome","DENV_2",NA,"Complete_Genome",10723,"Puerto Rico",NA,1994,NA,18.220833,-66.590149,"APPROXIMATE","Puerto Rico",NA,NA,NA,NA,"Puerto_Rico_1994"
"70",1618,8519,"FJ744745",224383665,"Dengue_virus_2_isolate_DENV_2_NI_BID_V2362_2000_complete_genome","DENV_2",NA,"Complete_Genome",10679,"Nicaragua","Masaya",2000,NA,12.865416,-85.207229,"APPROXIMATE","Nicaragua",11.9704485,-86.0886366,"APPROXIMATE","Masaya, Nicaragua","Nicaragua_Masaya_cell_supernatant_2000_passage_history_C6_36_1_cohort_population_Routine"
"72",3428,4692,"KF955477",573974433,"Dengue_virus_3_isolate_DENV_3_IN_BID_V2417_1984_complete_genome","DENV_3",NA,"Complete_Genome",10525,"India",NA,1984,NA,20.593684,78.96288,"APPROXIMATE","India",NA,NA,NA,NA,"India_cell_supernatant_1984_cell_passage_history_unknown_cohort_population_UNC"
"73",3415,4591,"KF824903",578897355,"Dengue_virus_3_isolate_YN02_complete_genome","DENV_3","II","Complete_Genome",10707,"China",NA,2013,NA,35.86166,104.195397,"APPROXIMATE","China",NA,NA,NA,NA,"II_China_serum_2013"
"76",75,16876,"AY496879",89242735,"Dengue_virus_type_3_isolate_PhMH_J1_97_complete_genome","DENV_3",NA,"Complete_Genome",10707,"Philippines",NA,1997,NA,12.879721,121.774017,"APPROXIMATE","Philippines",NA,NA,NA,NA,"Philippines_1997"
"77",139,14248,"AY858037",145413590,"Dengue_virus_3_strain_BA51_complete_genome","DENV_3",NA,"Complete_Genome",10707,"Indonesia","Jakarta",2004,NA,-0.789275,113.921327,"APPROXIMATE","Indonesia",-6.17511,106.8650395,"APPROXIMATE","Jakarta, Indonesia","Indonesia_Jakarta_dengue_patient_2004"
"79",3517,4974,"KF041254",567319935,"Dengue_virus_3_isolate_D3_Pakistan_56_2008_complete_genome","DENV_3",NA,"Complete_Genome",10675,"Pakistan","Karachi",2008,NA,30.375321,69.345116,"APPROXIMATE","Pakistan",24.8614622,67.0099388,"APPROXIMATE","Karachi, Pakistan","Pakistan_Karachi_2008"
"80",3650,5596,"JQ922555",428625093,"Dengue_virus_3_isolate_DENV_3_IND_664481_1966_complete_genome","DENV_3",NA,"Complete_Genome",10663,"India","Vellore",1966,NA,20.593684,78.96288,"APPROXIMATE","India",12.9165167,79.1324986,"APPROXIMATE","Vellore, Tamil Nadu, India","India_Vellore_Tamil_Nadu_1966"
"81",2836,2542,"KC762690",573592428,"Dengue_virus_3_isolate_MKS_3000_complete_genome","DENV_3",NA,"Complete_Genome",10709,"Indonesia","Makassar",2008,"Aug",-0.789275,113.921327,"APPROXIMATE","Indonesia",-5.1476651,119.4327314,"APPROXIMATE","Makassar, Makassar City, South Sulawesi, Indonesia","Indonesia_Makassar_serum_26_Aug_2008"
"82",1077,9054,"FJ182038",204305614,"Dengue_virus_3_isolate_DENV_3_US_BID_V1623_2005_complete_genome","DENV_3",NA,"Complete_Genome",10648,"Puerto Rico",NA,2005,NA,18.220833,-66.590149,"APPROXIMATE","Puerto Rico",NA,NA,NA,NA,"USA_Puerto_Rico_cell_supernatant_2005_passage_history_C6_36_1_cohort_population_Puerto_Rico"
"83",3180,8359,"FJ882572",228538251,"Dengue_virus_3_isolate_DENV_3_LK_BID_V2412_1989_complete_genome","DENV_3",NA,"Complete_Genome",10663,"Sri Lanka",NA,1989,NA,7.873054,80.771797,"APPROXIMATE","Sri Lanka",NA,NA,NA,NA,"Sri_Lanka_cell_supernatant_1989_passage_history_C6_36_3_cohort_population_CDC_Reference_Collection"
"84",3129,4392,"KF954948",589435104,"Dengue_virus_3_isolate_13GDZDVS30D_complete_genome","DENV_3",NA,"Complete_Genome",10678,"China","Zhongshan",2013,"Aug",35.86166,104.195397,"APPROXIMATE","China",22.517585,113.39277,"APPROXIMATE","Zhongshan, Guangdong, China","China_Zhongshan_serum_08_Aug_2013"
"85",2635,8092,"GQ199879",239840415,"Dengue_virus_4_isolate_DENV_4_US_BID_V2430_1994_complete_genome","DENV_4",NA,"Complete_Genome",10593,"Puerto Rico",NA,1994,NA,18.220833,-66.590149,"APPROXIMATE","Puerto Rico",NA,NA,NA,NA,"USA_Puerto_Rico_cell_supernatant_1994_passage_history_C6_36_1_cohort_population_Puerto_Rico"
"88",2088,1965,"KJ579242",688441996,"Dengue_virus_4_strain_DENV_4_MT_BR9_TVP17895_2012_isolate_serum_9_complete_genome","DENV_4",NA,"Complete_Genome",10649,"Brazil","Cuiaba",2012,"Apr",-14.235004,-51.92528,"APPROXIMATE","Brazil",-15.6014109,-56.0978917,"APPROXIMATE","Cuiabá - Coxipó da Ponte, Cuiabá - State of Mato Grosso, Brazil","Brazil_Cuiaba_MT_female_14.4039_S_55.9033_W_18_Apr_2012_176.8_m."
"91",1699,12358,"GQ398256",300828755,"Dengue_virus_4_strain_DENV_4_SG_06K2270DK1_2005_complete_genome","DENV_4",NA,"Complete_Genome",10653,"Singapore",NA,2005,NA,1.352083,103.819836,"APPROXIMATE","Singapore",NA,NA,NA,NA,"Singapore_2005"
"92",3511,4968,"KF041260",567319947,"Dengue_virus_4_isolate_D4_Pakistan_150_2009_complete_genome","DENV_4","I","Complete_Genome",10652,"Pakistan","Karachi",2009,NA,30.375321,69.345116,"APPROXIMATE","Pakistan",24.8614622,67.0099388,"APPROXIMATE","Karachi, Pakistan","I_Pakistan_Karachi_2009"
"93",1089,11608,"FJ196849",224551985,"Dengue_virus_4_isolate_GD07_78_polyprotein_gene_complete_cds","DENV_4",NA,"Complete_Genome",10649,"China","Guangzhou",1978,NA,35.86166,104.195397,"APPROXIMATE","China",23.12911,113.264385,"APPROXIMATE","Guangzhou, Guangdong, China","China_Guangzhou_Guangdong_Province_cell_culture_from_suckling_mouse_brain__SMB__1978"
"94",237,14225,"EF457906",148828520,"Dengue_virus_type_4_isolate_P75_215_complete_genome","DENV_4",NA,"Complete_Genome",10666,"Malaysia",NA,1975,NA,4.210484,101.975766,"APPROXIMATE","Malaysia",NA,NA,NA,NA,"Malaysia_1975"
